Submissionid,Reason
72176468,Roster Issue
72176468,Constitution Missing
72176468,Trademark Violation
74358317,Constitution Missing
74358317,Trademark Violation
74366941,Constitution Missing
74366941,Trademark Violation
73874235,Roster Issue
73874235,Trademark Violation
74367701,Constitution Missing
74367701,Trademark Violation
71963806,Constitution Missing
71963806,Trademark Violation
71919569,Constitution Missing
71919569,Trademark Violation
72353930,Constitution Missing
72353930,Trademark Violation
73508710,Constitution Missing
73508710,Trademark Violation
72757190,Roster Issue
72757190,Trademark Violation
73550540,Trademark Violation
73459163,Constitution Missing
73459163,Trademark Violation
72412874,Roster Issue
72412874,Trademark Violation
74120321,Trademark Violation
74322073,Roster Issue
74322073,Trademark Violation
73786611,Roster Issue
73786611,Constitution Missing
73786611,Trademark Violation
72685074,Trademark Violation
72574932,Roster Issue
72574932,Trademark Violation
72775478,Trademark Violation
73172325,Trademark Violation
73880792,Constitution Missing
73880792,Trademark Violation
72193809,Constitution Missing
72193809,Trademark Violation
73442588,Roster Issue
73442588,Trademark Violation
72482326,Roster Issue
72482326,Trademark Violation
72137081,Roster Issue
72137081,Trademark Violation
73712774,Roster Issue
73712774,Trademark Violation
72630729,Roster Issue
72630729,Trademark Violation
73566473,Constitution Missing
73566473,Trademark Violation
73837672,Constitution Missing
73837672,Trademark Violation
72610545,Roster Issue
72610545,Constitution Missing
72610545,Trademark Violation
72507582,Constitution Missing
72507582,Trademark Violation
72030144,Roster Issue
72030144,Trademark Violation
73035270,Roster Issue
73035270,Trademark Violation
74352570,Constitution Missing
74352570,Trademark Violation
74383188,Roster Issue
74383188,Constitution Missing
74383188,Trademark Violation
74048778,Constitution Missing
74048778,Trademark Violation
72298024,Constitution Missing
72298024,Trademark Violation
72579491,Constitution Missing
72579491,Trademark Violation
74337966,Roster Issue
74337966,Trademark Violation
74143151,Trademark Violation
72738874,Roster Issue
72738874,Trademark Violation
72174244,Roster Issue
72174244,Trademark Violation
74267875,Trademark Violation
73522066,Roster Issue
73522066,Trademark Violation
71843861,Roster Issue
71843861,Trademark Violation
72634522,Constitution Missing
72634522,Trademark Violation
72298850,Constitution Missing
72298850,Trademark Violation
74046351,Roster Issue
74046351,Trademark Violation
73381888,Roster Issue
73381888,Constitution Missing
73381888,Trademark Violation
73050956,Roster Issue
73050956,Trademark Violation
71914499,Roster Issue
71914499,Trademark Violation
71904347,Roster Issue
71904347,Trademark Violation
74272145,Constitution Missing
74272145,Trademark Violation
73452754,Roster Issue
73452754,Constitution Missing
73452754,Trademark Violation
73509242,Trademark Violation
73462042,Trademark Violation
71968767,Constitution Missing
72755242,Constitution Missing
72755242,Trademark Violation
72411797,Constitution Missing
72411797,Trademark Violation
71915504,Roster Issue
71915504,Trademark Violation
73762829,Roster Issue
73762829,Constitution Missing
73762829,Trademark Violation
72018147,Roster Issue
72018147,Trademark Violation
71971664,Roster Issue
71971664,Trademark Violation
73840550,Constitution Missing
73840550,Trademark Violation
74115014,Constitution Missing
74115014,Trademark Violation
73096464,Roster Issue
73096464,Trademark Violation
74338652,Roster Issue
74338652,Trademark Violation
74352687,Roster Issue
74352687,Trademark Violation
